Front End,83,93.9
QA,84,74.1
HR,47,56.4
Java,38,52.8
Project Manager,65,49.8
.NET,55,38.6
Design,79,37.5
iOS/macOS,15,35
Android,8,33.2
Node.js,66,27.4
React Native,10,27
Product Manager,49,26.9
Account Manager,2,26.5
Flutter,9,26.1
Python,67,23
Blockchain,6,21.8
PHP,68,19.4
Ruby,9,18.7
Scrum Master,3,18
C-level,8,16
Data Science,22,15.2
Support,21,14.7
Sales,76,13.7
Analyst,88,13.4
Salesforce,4,13
Unity,8,13
Copywriter,13,12.8
Marketing,158,12.7
C++,10,12.1
DevOps,74,11.5
Legal,14,11.3
Finance,36,10.2
Rust,2,10
AI/ML,22,9.5
Big Data,6,8.5
Unreal Engine,2,8
Technical Writer,9,8
Embedded,18,7.4
Golang,18,6.7
Data Engineer,26,6.5
SysAdmin,29,6.5
DBA,11,5.8
Office Manager,2,5.5
SEO,18,5.4
SAP,9,5
Hardware,9,4.6
Animator,5,4.2
Artist,16,4.2
Engineering Manager,5,3.5
Other,24,3.5
Erlang,4,2
Security,22,1.9
Architect,8,1.4
ERP/CRM,9,1.1
