Front End,208,109.5
QA,246,95.4
Project Manager,191,61.5
HR,182,53.2
Design,226,43.7
Android,35,43.4
Java,126,43.1
.NET,145,41.1
React Native,33,35
iOS/macOS,46,33.4
Blockchain,15,31.1
Flutter,24,27.6
Node.js,149,27.3
Product Manager,136,26.5
Python,170,25.6
Scrum Master,8,23
Ruby,23,22.6
PHP,179,20.4
Unity,23,20.1
Account Manager,12,19.1
Support,172,19
C++,42,18
Data Science,62,17.4
Office Manager,23,16.5
Assistant,13,14.7
Analyst,279,14.4
DevOps,166,14.1
Copywriter,57,13.7
Big Data,21,13.6
Legal,42,13.5
Sales,362,13.4
C-level,35,13
Golang,50,12.8
Salesforce,13,12.3
Marketing,566,12.2
AI/ML,39,11.5
Finance,129,10.9
Animator,11,9.9
DBA,23,9.8
Engineering Manager,27,9.4
Data Engineer,64,9.4
Artist,59,8.9
Technical Writer,24,8.6
Hardware,40,8.5
ERP/CRM,24,7.5
Other,113,6.6
SysAdmin,77,6.2
Security,70,5.2
SEO,54,5
Embedded,50,4.5
Unreal Engine,8,3.9
Rust,7,3.8
Architect,46,3.2
Erlang,5,2.8
SAP,25,2.1
Військова справа,6,1
