Front End,14,274
QA,17,167.8
Node.js,4,146
Design,11,131.2
Android,1,98
Java,3,98
Project Manager,24,92
Python,6,79.6
DBA,1,74
.NET,3,67.3
HR,21,66.1
DevOps,4,63
Ruby,1,55
ERP/CRM,2,41
Legal,1,39
Data Science,4,36.5
C++,3,36
Product Manager,2,34
Security,4,32.3
Support,44,32.1
Unity,2,31
React Native,1,31
iOS/macOS,3,29.3
Analyst,23,28.1
PHP,12,26.5
Hardware,4,23
Office Manager,8,21.8
Blockchain,2,18.5
Finance,17,16.4
Assistant,4,16.2
Sales,66,16.2
Marketing,74,15.4
Copywriter,11,14.5
Engineering Manager,2,13
Other,18,12.5
Artist,5,12
SEO,8,8.2
SysAdmin,11,6.6
Erlang,1,6
SAP,1,5
Військова справа,1,1
