Front End,106,100.4
QA,117,70.4
Java,39,63.4
React Native,17,60.9
Android,17,45.3
Design,87,40.5
Project Manager,105,38.3
Flutter,10,36.8
Unity,11,35.6
HR,61,34.9
.NET,53,34.7
iOS/macOS,21,32.2
Copywriter,14,25.7
PHP,82,24.5
Ruby,8,24.3
C-level,15,23.5
Salesforce,5,23
Product Manager,80,22.9
Node.js,66,22.9
Scrum Master,5,22.5
Python,74,19.5
Artist,27,18.8
Blockchain,9,16.8
Support,22,16.5
Assistant,4,16
DevOps,76,15
Legal,26,14.9
Sales,95,14.1
C++,23,14
Engineering Manager,9,12.6
Account Manager,18,11.5
Finance,57,11.3
Marketing,202,10.1
Analyst,123,10
Unreal Engine,3,9.5
Technical Writer,7,8.8
Golang,17,8.3
Office Manager,3,8
Animator,6,7.8
AI/ML,36,7.7
Rust,2,7.5
Data Science,20,6.4
Other,12,6.3
SEO,19,5.8
Data Engineer,32,5.1
ERP/CRM,16,4.3
Embedded,13,3.7
SysAdmin,25,3.6
Security,17,3.5
Architect,9,2.9
Big Data,6,2.2
Hardware,9,1.8
Військова справа,6,1.3
DBA,12,1.2
Scala,3,1
SAP,12,0.8
